               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.010255,           0.0062372,           0.0028648,             0.99509,                   1,               0.995,             0.95846,           0.0023233,           0.0014309,           9.139e-05,           0.0091585,           0.0091585,           0.0091585
                  53,            0.010186,           0.0060822,            0.003409,             0.99707,                   1,               0.995,             0.94546,           0.0022037,           0.0013849,          0.00011227,            0.009142,            0.009142,            0.009142
                  54,           0.0098448,            0.006075,           0.0026927,             0.99764,                   1,               0.995,             0.95217,           0.0022545,           0.0014325,          0.00011915,           0.0091255,           0.0091255,           0.0091255
                  55,           0.0094168,           0.0060895,            0.002925,             0.99513,             0.99879,               0.995,             0.94399,           0.0023308,           0.0013722,           0.0001095,            0.009109,            0.009109,            0.009109
                  56,           0.0095602,           0.0058466,           0.0022902,             0.99754,                   1,               0.995,              0.9445,           0.0024425,           0.0014146,          7.7069e-05,           0.0090925,           0.0090925,           0.0090925
                  57,           0.0091986,           0.0059614,           0.0021462,             0.99658,                   1,               0.995,             0.94741,           0.0022319,           0.0013353,          6.5698e-05,            0.009076,            0.009076,            0.009076
                  58,            0.009361,           0.0059606,           0.0023815,             0.99732,                   1,               0.995,             0.96062,           0.0020021,           0.0012942,          0.00010101,           0.0090595,           0.0090595,           0.0090595
                  59,           0.0092872,           0.0058873,           0.0023714,             0.99796,                   1,               0.995,             0.96744,           0.0019762,           0.0012693,          0.00014464,            0.009043,            0.009043,            0.009043
                  60,           0.0094621,           0.0062103,           0.0021083,             0.99653,             0.99901,               0.995,             0.94552,           0.0023076,            0.001392,          0.00011736,           0.0090265,           0.0090265,           0.0090265
                  61,           0.0095308,           0.0062976,           0.0023773,             0.99633,                   1,               0.995,             0.96329,           0.0019859,           0.0011928,          0.00012316,             0.00901,             0.00901,             0.00901
                  62,           0.0092692,           0.0061109,           0.0018933,              0.9974,                   1,               0.995,             0.96802,           0.0021034,           0.0012041,          0.00012896,           0.0089935,           0.0089935,           0.0089935
                  63,           0.0094895,           0.0059834,           0.0029789,             0.99715,                   1,               0.995,             0.94136,           0.0024484,           0.0012922,          0.00012917,            0.008977,            0.008977,            0.008977
                  64,           0.0091849,           0.0060147,           0.0023404,             0.99369,                   1,               0.995,             0.95776,           0.0021863,           0.0013642,          9.7624e-05,           0.0089605,           0.0089605,           0.0089605
