               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,             0.01263,           0.0074721,           0.0039467,             0.99418,                   1,               0.995,             0.92324,           0.0027233,            0.001574,          0.00015473,            0.008911,            0.008911,            0.008911
                  68,            0.012772,           0.0074013,           0.0035377,             0.98893,                   1,               0.995,             0.91412,            0.002987,           0.0015673,          0.00017649,           0.0088945,           0.0088945,           0.0088945
                  69,            0.012794,           0.0072676,            0.003876,             0.99254,                   1,               0.995,             0.92391,           0.0026688,            0.001551,          0.00013289,            0.008878,            0.008878,            0.008878
                  70,            0.012456,           0.0072349,           0.0033253,             0.99435,                   1,               0.995,             0.92032,           0.0030763,            0.001588,          0.00017382,           0.0088615,           0.0088615,           0.0088615
                  71,            0.011865,           0.0070139,           0.0032212,             0.99543,             0.99928,               0.995,             0.94039,           0.0026041,            0.001574,          0.00017509,            0.008845,            0.008845,            0.008845
                  72,            0.011985,           0.0071203,            0.002847,             0.99485,                   1,               0.995,             0.92352,           0.0027606,           0.0015535,          0.00020475,           0.0088285,           0.0088285,           0.0088285
                  73,            0.011954,           0.0070693,           0.0028105,             0.99726,             0.99913,               0.995,             0.90914,           0.0030447,           0.0017021,          0.00018316,            0.008812,            0.008812,            0.008812
                  74,            0.011809,           0.0073469,           0.0036095,             0.99675,                   1,               0.995,             0.93694,           0.0024956,            0.001536,          0.00018892,           0.0087955,           0.0087955,           0.0087955
                  75,            0.012337,            0.007374,           0.0042371,             0.99618,             0.99869,               0.995,             0.93301,           0.0027238,           0.0015453,          0.00012012,            0.008779,            0.008779,            0.008779
                  76,            0.011797,           0.0071161,           0.0033734,             0.99643,             0.99989,               0.995,              0.9173,           0.0028383,           0.0016937,          0.00017684,           0.0087625,           0.0087625,           0.0087625
                  77,            0.012389,           0.0070931,           0.0031982,             0.99729,             0.99901,               0.995,             0.91448,           0.0028569,           0.0015871,           0.0001558,            0.008746,            0.008746,            0.008746
                  78,            0.011597,           0.0070975,           0.0027302,             0.99459,                   1,               0.995,             0.92886,           0.0026935,           0.0015581,          0.00018758,           0.0087295,           0.0087295,           0.0087295
                  79,            0.011268,           0.0069836,           0.0026125,             0.99432,                   1,               0.995,             0.90676,           0.0030811,           0.0015725,          0.00015648,            0.008713,            0.008713,            0.008713
                  80,            0.011348,            0.006994,           0.0028479,              0.9833,             0.99322,               0.995,             0.92464,           0.0024815,           0.0014774,          0.00050307,           0.0086965,           0.0086965,           0.0086965
                  81,            0.012969,           0.0070208,           0.0041407,             0.99597,                   1,               0.995,             0.92383,           0.0029143,           0.0015336,          0.00019278,             0.00868,             0.00868,             0.00868
                  82,             0.01163,           0.0070919,           0.0035942,             0.99553,                   1,               0.995,             0.94636,           0.0024466,           0.0013657,          0.00010942,           0.0086635,           0.0086635,           0.0086635
                  83,            0.012081,           0.0069248,           0.0039802,             0.99629,                   1,               0.995,             0.94154,           0.0025178,           0.0014694,          0.00015818,            0.008647,            0.008647,            0.008647
                  84,            0.011466,           0.0070829,           0.0031281,              0.9943,                   1,               0.995,             0.93841,           0.0025987,           0.0014907,          0.00015179,           0.0086305,           0.0086305,           0.0086305
                  85,            0.011081,           0.0072501,           0.0027547,             0.99779,                   1,               0.995,             0.95266,           0.0023687,           0.0014062,           0.0001811,            0.008614,            0.008614,            0.008614
                  86,            0.011715,            0.006985,             0.00311,             0.99682,                   1,               0.995,             0.93259,           0.0026563,            0.001421,          0.00017376,           0.0085975,           0.0085975,           0.0085975
                  87,            0.011686,           0.0068977,           0.0031891,             0.99569,             0.99971,               0.995,             0.92308,           0.0028458,           0.0015466,          0.00012073,            0.008581,            0.008581,            0.008581
                  88,            0.012432,           0.0072661,           0.0039042,             0.99433,                   1,               0.995,             0.92777,           0.0026376,           0.0015337,          0.00016606,           0.0085645,           0.0085645,           0.0085645
                  89,            0.011644,           0.0070382,           0.0032514,             0.99464,             0.99417,               0.995,             0.92912,             0.00268,           0.0014497,          0.00022371,            0.008548,            0.008548,            0.008548
                  90,            0.011301,           0.0069613,           0.0027031,             0.99457,                   1,               0.995,             0.94122,           0.0025309,           0.0015131,           0.0001318,           0.0085315,           0.0085315,           0.0085315
                  91,            0.011639,           0.0068412,           0.0029052,             0.99589,                   1,               0.995,             0.90433,           0.0030213,           0.0016219,           0.0001443,            0.008515,            0.008515,            0.008515
                  92,            0.011056,           0.0067342,           0.0027479,             0.99613,                   1,               0.995,             0.94596,           0.0024284,           0.0013375,          0.00013723,           0.0084985,           0.0084985,           0.0084985
                  93,             0.01074,           0.0069162,           0.0028112,             0.99625,                   1,               0.995,             0.95287,           0.0024838,           0.0013717,          0.00012408,            0.008482,            0.008482,            0.008482
                  94,            0.010722,           0.0066602,           0.0028358,              0.9951,             0.99961,               0.995,             0.94509,           0.0023905,           0.0014168,          0.00022402,           0.0084655,           0.0084655,           0.0084655
                  95,            0.011179,           0.0069302,           0.0028721,             0.99547,             0.99942,               0.995,             0.93389,           0.0024759,           0.0014778,          0.00017972,            0.008449,            0.008449,            0.008449
                  96,            0.011447,           0.0068717,           0.0035456,             0.99602,                   1,               0.995,             0.93886,            0.002493,           0.0014317,          0.00017469,           0.0084325,           0.0084325,           0.0084325
                  97,            0.011569,           0.0068663,           0.0038672,             0.99776,                   1,               0.995,              0.9385,           0.0024382,             0.00148,          0.00011329,            0.008416,            0.008416,            0.008416
                  98,            0.010864,           0.0070538,           0.0031393,             0.99643,                   1,               0.995,             0.94175,            0.002559,           0.0014818,          0.00016042,           0.0083995,           0.0083995,           0.0083995
                  99,            0.011283,           0.0068057,           0.0027306,             0.99277,                   1,               0.995,               0.948,           0.0021886,           0.0013988,          0.00017966,            0.008383,            0.008383,            0.008383
                 100,            0.011375,            0.006848,           0.0030333,             0.99709,                   1,               0.995,              0.9392,           0.0024032,           0.0014652,          0.00013069,           0.0083665,           0.0083665,           0.0083665
                 101,            0.011586,            0.006847,           0.0030349,             0.99496,             0.99975,               0.995,              0.9512,           0.0023046,           0.0013704,          0.00013061,             0.00835,             0.00835,             0.00835
                 102,            0.011652,            0.006764,           0.0027896,             0.99345,             0.99878,               0.995,             0.94021,           0.0024283,           0.0014124,          0.00011983,           0.0083335,           0.0083335,           0.0083335
                 103,            0.011285,           0.0068417,           0.0027345,             0.99587,                   1,               0.995,             0.95289,           0.0023883,           0.0013899,          0.00011807,            0.008317,            0.008317,            0.008317
                 104,            0.011257,           0.0067472,           0.0026128,             0.99616,                   1,               0.995,             0.93818,           0.0024792,           0.0015445,          0.00011396,           0.0083005,           0.0083005,           0.0083005
